timestamp,dpid,packet_count,byte_count,duration_sec
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.6015508,3,2,196,3
1770562040.6015508,3,1,98,3
1770562040.6015508,3,2,196,3
1770562040.6015508,3,1,98,3
1770562040.6015508,3,2,196,3
1770562040.6015508,3,1,98,3
1770562040.6015508,3,2,196,3
1770562040.6015508,3,1,98,3
1770562040.6015508,3,2,196,3
1770562040.6015508,3,1,98,3
1770562040.6015508,3,2,196,3
1770562040.6015508,3,1,98,3
1770562040.6015508,3,2,196,3
1770562040.6015508,3,1,98,3
1770562040.6015508,3,2,196,3
1770562040.6015508,3,1,98,3
1770562040.6015508,3,2,196,3
1770562040.6015508,3,1,98,3
1770562040.6015508,3,2,196,3
1770562040.6015508,3,1,98,3
1770562040.6015508,3,2,196,3
1770562040.6015508,3,1,98,3
1770562040.6015508,3,2,196,3
1770562040.6015508,3,1,98,3
1770562040.6015508,3,2,196,3
1770562040.6015508,3,1,98,3
1770562040.6015508,3,2,196,3
1770562040.6015508,3,1,98,3
1770562040.6015508,3,2,196,3
1770562040.6015508,3,1,98,3
1770562040.6015508,3,2,196,3
1770562040.6015508,3,1,98,3
1770562040.6015508,3,2,196,3
1770562040.6015508,3,1,98,3
1770562040.6015508,3,2,196,3
1770562040.6015508,3,1,98,3
1770562040.6015508,3,2,196,3
1770562040.6015508,3,1,98,3
1770562040.6015508,3,2,196,3
1770562040.6015508,3,1,98,3
1770562040.6015508,3,2,196,3
1770562040.6015508,3,1,98,3
1770562040.6016119,2,2,196,3
1770562040.6016119,2,2,196,3
1770562040.6016119,2,2,196,3
1770562040.6016119,2,1,98,3
1770562040.6016119,2,2,196,3
1770562040.6016119,2,1,98,3
1770562040.6016119,2,2,196,3
1770562040.6016119,2,1,98,3
1770562040.6016119,2,2,196,3
1770562040.6016119,2,1,98,3
1770562040.6016119,2,2,196,3
1770562040.6016119,2,1,98,3
1770562040.6016119,2,2,196,3
1770562040.6016119,2,1,98,3
1770562040.6016119,2,2,196,3
1770562040.6016119,2,1,98,3
1770562040.6016119,2,2,196,3
1770562040.6016119,2,1,98,3
1770562040.6016119,2,2,196,3
1770562040.6016119,2,1,98,3
1770562040.6016119,2,2,196,3
1770562040.6016119,2,1,98,3
1770562040.6016119,2,2,196,3
1770562040.6016119,2,1,98,3
1770562040.6016119,2,2,196,3
1770562040.6016119,2,1,98,3
1770562040.6016119,2,2,196,3
1770562040.6016119,2,1,98,3
1770562040.6016119,2,2,196,3
1770562040.6016119,2,1,98,3
1770562040.6016119,2,2,196,3
1770562040.6016119,2,1,98,3
1770562040.6016119,2,2,196,3
1770562040.6016119,2,1,98,3
1770562040.6016119,2,2,196,3
1770562040.6016119,2,1,98,3
1770562040.6016119,2,2,196,3
1770562040.6016119,2,1,98,3
1770562040.6016119,2,2,196,3
1770562040.6016119,2,1,98,3
1770562040.6016119,2,2,196,3
1770562040.6016119,2,1,98,3
1770562040.6016514,4,2,196,3
1770562040.6016514,4,1,98,3
1770562040.6016514,4,2,196,3
1770562040.6016514,4,1,98,3
1770562040.6016514,4,2,196,3
1770562040.6016514,4,1,98,3
1770562040.6016514,4,2,196,3
1770562040.6016514,4,1,98,3
1770562040.6016514,4,2,196,3
1770562040.6016514,4,1,98,3
1770562040.6016514,4,2,196,3
1770562040.6016514,4,1,98,3
1770562040.6016514,4,2,196,3
1770562040.6016514,4,1,98,3
1770562040.6016514,4,2,196,3
1770562040.6016514,4,1,98,3
1770562040.6016514,4,2,196,3
1770562040.6016514,4,1,98,3
1770562040.6016514,4,2,196,3
1770562040.6016514,4,1,98,3
1770562040.6016514,4,2,196,3
1770562040.6016514,4,1,98,3
1770562040.6016514,4,2,196,3
1770562040.6016514,4,1,98,3
1770562040.6016514,4,2,196,3
1770562040.6016514,4,1,98,3
1770562040.6016514,4,2,196,3
1770562040.6016514,4,1,98,3
1770562040.6016514,4,2,196,3
1770562040.6016514,4,1,98,3
1770562040.6016514,4,2,196,3
1770562040.6016514,4,1,98,3
1770562040.6016514,4,2,196,3
1770562040.6016514,4,1,98,3
1770562040.6016514,4,2,196,3
1770562040.6016514,4,1,98,3
1770562040.6016514,4,2,196,3
1770562040.6016514,4,1,98,3
1770562040.6016514,4,2,196,3
1770562040.6016514,4,1,98,3
1770562040.6016514,4,2,196,3
1770562040.6016514,4,1,98,3
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.5982392,1,2,196,4
1770562041.5982392,1,1,98,4
1770562041.6021378,4,2,196,4
1770562041.6021378,4,1,98,4
1770562041.6021378,4,2,196,4
1770562041.6021378,4,1,98,4
1770562041.6021378,4,2,196,4
1770562041.6021378,4,1,98,4
1770562041.6021378,4,2,196,4
1770562041.6021378,4,1,98,4
1770562041.6021378,4,2,196,4
1770562041.6021378,4,1,98,4
1770562041.6021378,4,2,196,4
1770562041.6021378,4,1,98,4
1770562041.6021378,4,2,196,4
1770562041.6021378,4,1,98,4
1770562041.6021378,4,2,196,4
1770562041.6021378,4,1,98,4
1770562041.6021378,4,2,196,4
1770562041.6021378,4,1,98,4
1770562041.6021378,4,2,196,4
1770562041.6021378,4,1,98,4
1770562041.6021378,4,2,196,4
1770562041.6021378,4,1,98,4
1770562041.6021378,4,2,196,4
1770562041.6021378,4,1,98,4
1770562041.6021378,4,2,196,4
1770562041.6021378,4,1,98,4
1770562041.6021378,4,2,196,4
1770562041.6021378,4,1,98,4
1770562041.6021378,4,2,196,4
1770562041.6021378,4,1,98,4
1770562041.6021378,4,2,196,4
1770562041.6021378,4,1,98,4
1770562041.6021378,4,2,196,4
1770562041.6021378,4,1,98,4
1770562041.6021378,4,2,196,4
1770562041.6021378,4,1,98,4
1770562041.6021378,4,2,196,4
1770562041.6021378,4,1,98,4
1770562041.6021378,4,2,196,4
1770562041.6021378,4,1,98,4
1770562041.6021378,4,2,196,4
1770562041.6021378,4,1,98,4
1770562042,3,2,196,4
1770562042,3,1,98,4
1770562042,3,2,196,4
1770562042,3,1,98,4
1770562042,3,2,196,4
1770562042,3,1,98,4
1770562042,3,2,196,4
1770562042,3,1,98,4
1770562042,3,2,196,4
1770562042,3,1,98,4
1770562042,3,2,196,4
1770562042,3,1,98,4
1770562042,3,2,196,4
1770562042,3,1,98,4
1770562042,3,2,196,4
1770562042,3,1,98,4
1770562042,3,2,196,4
1770562042,3,1,98,4
1770562042,3,2,196,4
1770562042,3,1,98,4
1770562042,3,2,196,4
1770562042,3,1,98,4
1770562042,3,2,196,4
1770562042,3,1,98,4
1770562042,3,2,196,4
1770562042,3,1,98,4
1770562042,3,2,196,4
1770562042,3,1,98,4
1770562042,3,2,196,4
1770562042,3,1,98,4
1770562042,3,2,196,4
1770562042,3,1,98,4
1770562042,3,2,196,4
1770562042,3,1,98,4
1770562042,3,2,196,4
1770562042,3,1,98,4
1770562042,3,2,196,4
1770562042,3,1,98,4
1770562042,3,2,196,4
1770562042,3,1,98,4
1770562042,3,2,196,4
1770562042,3,1,98,4
1770562041.6022341,2,2,196,4
1770562041.6022341,2,2,196,4
1770562041.6022341,2,2,196,4
1770562041.6022341,2,1,98,4
1770562041.6022341,2,2,196,4
1770562041.6022341,2,1,98,4
1770562041.6022341,2,2,196,4
1770562041.6022341,2,1,98,4
1770562041.6022341,2,2,196,4
1770562041.6022341,2,1,98,4
1770562041.6022341,2,2,196,4
1770562041.6022341,2,1,98,4
1770562041.6022341,2,2,196,4
1770562041.6022341,2,1,98,4
1770562041.6022341,2,2,196,4
1770562041.6022341,2,1,98,4
1770562041.6022341,2,2,196,4
1770562041.6022341,2,1,98,4
1770562041.6022341,2,2,196,4
1770562041.6022341,2,1,98,4
1770562041.6022341,2,2,196,4
1770562041.6022341,2,1,98,4
1770562041.6022341,2,2,196,4
1770562041.6022341,2,1,98,4
1770562041.6022341,2,2,196,4
1770562041.6022341,2,1,98,4
1770562041.6022341,2,2,196,4
1770562041.6022341,2,1,98,4
1770562041.6022341,2,2,196,4
1770562041.6022341,2,1,98,4
1770562041.6022341,2,2,196,4
1770562041.6022341,2,1,98,4
1770562041.6022341,2,2,196,4
1770562041.6022341,2,1,98,4
1770562041.6022341,2,2,196,4
1770562041.6022341,2,1,98,4
1770562041.6022341,2,2,196,4
1770562041.6022341,2,1,98,4
1770562041.6022341,2,2,196,4
1770562041.6022341,2,1,98,4
1770562041.6022341,2,2,196,4
1770562041.6022341,2,1,98,4
1770562042.599343,1,3,238,5
1770562042.599343,1,2,140,5
1770562042.599343,1,3,238,5
1770562042.599343,1,2,140,5
1770562042.599343,1,3,238,5
1770562042.599343,1,2,140,5
1770562042.599343,1,3,238,5
1770562042.599343,1,2,140,5
1770562042.599343,1,3,238,5
1770562042.599343,1,2,140,5
1770562042.599343,1,3,238,5
1770562042.599343,1,2,140,5
1770562042.599343,1,3,238,5
1770562042.599343,1,2,140,5
1770562042.599343,1,3,238,5
1770562042.599343,1,2,140,5
1770562042.599343,1,3,238,5
1770562042.599343,1,2,140,5
1770562042.599343,1,3,238,5
1770562042.599343,1,2,140,5
1770562042.599343,1,3,238,5
1770562042.599343,1,2,140,5
1770562042.599343,1,3,238,5
1770562042.599343,1,2,140,5
1770562042.599343,1,3,238,5
1770562042.599343,1,2,140,5
1770562042.599343,1,3,238,5
1770562042.599343,1,2,140,5
1770562042.599343,1,3,238,5
1770562042.599343,1,2,140,5
1770562042.599343,1,3,238,5
1770562042.599343,1,2,140,5
1770562042.599343,1,3,238,5
1770562042.599343,1,2,140,5
1770562042.599343,1,3,238,5
1770562042.599343,1,2,140,5
1770562042.599343,1,2,196,5
1770562042.599343,1,2,140,5
1770562042.599343,1,2,196,5
1770562042.599343,1,2,140,5
